Event Name,AttendeeID,Event Start Date,Event Scheduled Start Time,Event Scheduled End Time,Event/Recording Scheduled Duration,Event Actual Start Time,Event Actual End Time,Event/Recording Actual Duration,User Type,Invited,Registered,Attended,Join Time,Leave Time,Attendance Duration,Attention to Duration ratio*,Attention to Attendance ratio**
Master the tidyverse - session 4: data types,41,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:25 pm GMT,4:36 pm GMT,130.0 mins,25%,33%
Master the tidyverse - session 4: data types,41,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:24 pm GMT,2:25 pm GMT,1.0 min,0%,100%
Master the tidyverse - session 4: data types,19,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,4:20 pm GMT,4:34 pm GMT,13.0 mins,8%,100%
Master the tidyverse - session 4: data types,19,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:03 pm GMT,3:59 pm GMT,115.0 mins,51%,74%
Master the tidyverse - session 4: data types,51,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:06 pm GMT,4:32 pm GMT,145.0 mins,8%,9%
Master the tidyverse - session 4: data types,86,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:59 pm GMT,4:35 pm GMT,156.0 mins,14%,15%
Master the tidyverse - session 4: data types,132,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:40 pm GMT,3:56 pm GMT,75.0 mins,2%,3%
Master the tidyverse - session 4: data types,12,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:33 pm GMT,151.0 mins,42%,47%
Master the tidyverse - session 4: data types,17,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:33 pm GMT,151.0 mins,19%,21%
Master the tidyverse - session 4: data types,75,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:03 pm GMT,3:34 pm GMT,30.0 mins,15%,81%
Master the tidyverse - session 4: data types,98,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:32 pm GMT,152.0 mins,35%,39%
Master the tidyverse - session 4: data types,28,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:06 pm GMT,4:36 pm GMT,150.0 mins,4%,5%
Master the tidyverse - session 4: data types,97,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:04 pm GMT,4:33 pm GMT,149.0 mins,73%,82%
Master the tidyverse - session 4: data types,58,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:32 pm GMT,151.0 mins,7%,7%
Master the tidyverse - session 4: data types,115,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:29 pm GMT,2:59 pm GMT,30.0 mins,1%,4%
Master the tidyverse - session 4: data types,120,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:04 pm GMT,2:08 pm GMT,4.0 mins,0%,1%
Master the tidyverse - session 4: data types,81,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:05 pm GMT,4:32 pm GMT,147.0 mins,18%,21%
