Event Name,AttendeeID,Event Start Date,Event Scheduled Start Time,Event Scheduled End Time,Event/Recording Scheduled Duration,Event Actual Start Time,Event Actual End Time,Event/Recording Actual Duration,User Type,Invited,Registered,Attended,Join Time,Leave Time,Attendance Duration,Attention to Duration ratio*,Attention to Attendance ratio**
Master the tidyverse - session 1: introduction and ggplot2,237,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,4:03 pm GMT,4:05 pm GMT,1.0 min,1%,100%
Master the tidyverse - session 1: introduction and ggplot2,140,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,3:45 pm GMT,3:45 pm GMT,1.0 min,0%,100%
Master the tidyverse - session 1: introduction and ggplot2,140,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,1:47 pm GMT,1:55 pm GMT,7.0 mins,2%,46%
Master the tidyverse - session 1: introduction and ggplot2,95,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:09 pm GMT,4:58 pm GMT,168.0 mins,86%,100%
Master the tidyverse - session 1: introduction and ggplot2,95,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:07 pm GMT,4:20 pm GMT,132.0 mins,2%,3%
Master the tidyverse - session 1: introduction and ggplot2,65,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:30 pm GMT,149.0 mins,11%,14%
Master the tidyverse - session 1: introduction and ggplot2,83,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:58 pm GMT,177.0 mins,55%,62%
Master the tidyverse - session 1: introduction and ggplot2,213,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:30 pm GMT,149.0 mins,73%,97%
Master the tidyverse - session 1: introduction and ggplot2,74,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,2:29 pm GMT,28.0 mins,13%,86%
Master the tidyverse - session 1: introduction and ggplot2,170,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:36 pm GMT,2:49 pm GMT,13.0 mins,3%,41%
Master the tidyverse - session 1: introduction and ggplot2,220,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:30 pm GMT,149.0 mins,6%,8%
Master the tidyverse - session 1: introduction and ggplot2,85,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:30 pm GMT,148.0 mins,5%,6%
Master the tidyverse - session 1: introduction and ggplot2,48,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,3:10 pm GMT,4:29 pm GMT,78.0 mins,40%,100%
Master the tidyverse - session 1: introduction and ggplot2,48,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:15 pm GMT,4:58 pm GMT,162.0 mins,5%,7%
Master the tidyverse - session 1: introduction and ggplot2,48,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:08 pm GMT,3:10 pm GMT,61.0 mins,31%,100%
Master the tidyverse - session 1: introduction and ggplot2,48,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:03 pm GMT,2:10 pm GMT,7.0 mins,4%,100%
Master the tidyverse - session 1: introduction and ggplot2,14,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:19 pm GMT,2:57 pm GMT,38.0 mins,3%,15%
Master the tidyverse - session 1: introduction and ggplot2,91,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:30 pm GMT,149.0 mins,15%,20%
Master the tidyverse - session 1: introduction and ggplot2,56,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:01 pm GMT,120.0 mins,46%,74%
Master the tidyverse - session 1: introduction and ggplot2,146,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,1:57 pm GMT,4:30 pm GMT,152.0 mins,65%,84%
Master the tidyverse - session 1: introduction and ggplot2,158,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:31 pm GMT,150.0 mins,16%,21%
Master the tidyverse - session 1: introduction and ggplot2,156,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,1:59 pm GMT,4:33 pm GMT,153.0 mins,10%,13%
Master the tidyverse - session 1: introduction and ggplot2,180,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,1:59 pm GMT,4:46 pm GMT,166.0 mins,13%,16%
Master the tidyverse - session 1: introduction and ggplot2,23,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:07 pm GMT,4:48 pm GMT,161.0 mins,67%,82%
Master the tidyverse - session 1: introduction and ggplot2,23,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,1:57 pm GMT,2:02 pm GMT,4.0 mins,0%,18%
Master the tidyverse - session 1: introduction and ggplot2,89,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:54 pm GMT,4:58 pm GMT,124.0 mins,5%,7%
Master the tidyverse - session 1: introduction and ggplot2,187,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,1:55 pm GMT,4:30 pm GMT,154.0 mins,59%,75%
Master the tidyverse - session 1: introduction and ggplot2,201,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:06 pm GMT,4:43 pm GMT,156.0 mins,39%,49%
Master the tidyverse - session 1: introduction and ggplot2,31,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:30 pm GMT,150.0 mins,8%,10%
Master the tidyverse - session 1: introduction and ggplot2,161,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:36 pm GMT,3:08 pm GMT,32.0 mins,2%,13%
Master the tidyverse - session 1: introduction and ggplot2,162,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:33 pm GMT,2:37 pm GMT,3.0 mins,2%,100%
Master the tidyverse - session 1: introduction and ggplot2,162,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:27 pm GMT,2:32 pm GMT,5.0 mins,3%,100%
Master the tidyverse - session 1: introduction and ggplot2,64,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:43 pm GMT,162.0 mins,50%,60%
